0	一丁
1	一丁点
2	一万
3	一万个
4	一万倍
5	一万元
6	一万多
7	一万年
8	一万次
9	一万遍
10	一丈
11	一三五
12	一上
13	一上午
14	一上台
15	一下下
16	一下子
17	一下子把
18	一不小心
19	一不留神
20	一世
21	一丝
22	一丝不苟
23	一丝丝
24	一两
25	一两个
26	一个个
27	一个劲
28	一个包
29	一个半
30	一个多
31	一个多月
32	一个天
33	一个头
34	一个打
35	一个月
36	一个样
37	一个点
38	一个班
39	一个男孩
40	一个顶
41	一中
42	一串
43	一举
44	一乐
45	一九
46	一九四二
47	一书
48	一事
49	一二
50	一二三
51	一五
52	一亩
53	一亮
54	一人
55	一人份
56	一亿
57	一仁王
58	一付
59	一仙
60	一代
61	一代人
62	一代宗师
63	一件
64	一份
65	一休
66	一休哥
67	一众
68	一伙
69	一会
70	一会儿
71	一位
72	一住
73	一体
74	一体化
75	一例
76	一侧
77	一倍
78	一健气
79	一元
80	一入
81	一八
82	一共
83	一关
84	一具
85	一再
86	一冰
87	一决
88	一冷
89	一准
90	一准儿
91	一凡
92	一出
93	一击
94	一刀
95	一刀切
96	一分
97	一分钟
98	一分钱
99	一切正常
100	一切都在
101	一切都是
102	一切顺利
103	一列
104	一刚
105	一到
106	一刹那
107	一刻
108	一剑
109	一副
110	一动
111	一动不动
112	一勺
113	一包
114	一匹
115	一十八
116	一千
117	一千元
118	一千多
119	一千遍
120	一半
121	一单
122	一卡通
123	一卷
124	一去
125	一去不回
126	一去不复返
127	一双
128	一反
129	一发
130	一叠
131	一口
132	一口气
133	一句
134	一只
135	一叫
136	一台
137	一叶
138	一叶知秋
139	一号
140	一号线
141	一吃
142	一同
143	一名
144	一向
145	一吨
146	一听
147	一吻
148	一员
149	一周
150	一周岁
151	一周年
152	一味
153	一命
154	一品
155	一品堂
156	一哈
157	一响
158	一哥
159	一哭
160	一唱
161	一喜
162	一嘴
163	一回
164	一团
165	一国
166	一国两制
167	一图
168	一圈
169	一土
170	一地
171	一地泪
172	一场
173	一坐
174	一块
175	一块儿
176	一块钱
177	一坨
178	一城
179	一堂
180	一堆
181	一塌糊涂
182	一声
183	一壶
184	一处
185	一夏
186	一夜
187	一夜之间
188	一夜情
189	一大
190	一大半
191	一大口
192	一大块
193	一大堆
194	一大帮
195	一大批
196	一大早
197	一大步
198	一大群
199	一天两天
200	一天到晚
201	一天天
202	一夫
203	一头
204	一头雾水
205	一套
206	一女
207	一好
208	一如
209	一如既往
210	一姐
211	一子
212	一字
213	一季
214	一学
215	一宝
216	一审
217	一客
218	一家
219	一家亲
220	一家人
221	一家子
222	一宿
223	一寸
224	一对
225	一对一
226	一封
227	一封信
228	一小
229	一小块
230	一小撮
231	一尺
232	一尾
233	一局
234	一层
235	一届
236	一山
237	一岁
238	一峰
239	一巴掌
240	一帆风顺
241	一带
242	一席
243	一席话
244	一帮
245	一帮人
246	一幅
247	一幕
248	一年
249	一年一度
250	一年到头
251	一年四季
252	一年级
253	一并
254	一床
255	一应俱全
256	一店
257	一度
258	一座
259	一开
260	一弛
261	一张
262	一弹
263	一影
264	一律
265	一德
266	一心
267	一心一意
268	一忘
269	一忘景宏
270	一快
271	一念
272	一怒
273	一思
274	一惊
275	一惊蕾
276	一想
277	一战
278	一户
279	一房
280	一所
281	一扇
282	一扇门
283	一手
284	一扎
285	一打
286	一扫
287	一扫而光
288	一批
289	一把
290	一把手
291	一折
292	一抹
293	一拍
294	一招
295	一拜
296	一拨
297	一拳
298	一指
299	一挥
300	一换
301	一掌
302	一排
303	一探
304	一控
305	一提
306	一摊
307	一摸
308	一支
309	一改
310	一放
311	一整夜
312	一整天
313	一整套
314	一斗
315	一斤
316	一新
317	一方
318	一旁
319	一族
320	一无所有
321	一无所知
322	一日
323	一日三餐
324	一日游
325	一早
326	一时半会儿
327	一时间
328	一明
329	一星
330	一是
331	一晃
332	一晃眼
333	一晒
334	一晚
335	一景
336	一智
337	一曲
338	一月
339	一月份
340	一有
341	一望无际
342	一朝
343	一期
344	一木
345	一本
346	一本正经
347	一朵
348	一朵花
349	一杆
350	一村
351	一束
352	一条
353	一条条
354	一条街
355	一条龙
356	一杯
357	一枕
358	一枚
359	一枝
360	一枝花
361	一枪
362	一架
363	一柄
364	一查
365	一栋
366	一株
367	一根
368	一格
369	一案
370	一桌
371	一档
372	一桩
373	一桶
374	一梦
375	一棵
376	一棵树
377	一楼
378	一概
379	一模一样
380	一次性
381	一次次
382	一款
383	一步
384	一步之遥
385	一步步
386	一死
387	一段
388	一段时间
389	一段话
390	一段路
391	一比
392	一毛
393	一毛不拔
394	一毛钱
395	一气
396	一气呵成
397	一水
398	一汤
399	一汽大众
400	一泓
401	一泡
402	一波
403	一波三折
404	一波接
405	一泻千里
406	一洗
407	一派
408	一流
409	一海莲
410	一淫
411	一溜
412	一溜儿
413	一滩
414	一滴
415	一滴水
416	一点
417	一点一点
418	一点儿
419	一点半
420	一点多
421	一点点
422	一热
423	一熊
424	一爱
425	一爽
426	一片片
427	一片狼藉
428	一片空白
429	一版
430	一物
431	一物降
432	一特
433	一玩
434	一班
435	一球
436	一瓢
437	一瓣
438	一瓶
439	一生
